"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9924","login select a product add to cart","chromium","2026-09-10","passed","2026-09-10","","placeorder.spec.js","",""
"","7749","login select a product under monitors add to cart add details and purchase","chromium","2026-09-10","passed","2026-09-10","","placeorder.spec.js","",""
"","2745","login with invalid username and invalid password performance_glitch_use1,secret_sauce1","chromium","2026-09-10","passed","2026-09-10","","login.spec.js","",""
"","2022","Sign up and close","chromium","2026-09-10","passed","2026-09-10","","signup.spec.js","",""
"","2854","login with invalid username and valid password standard_user1,jose_thomas","chromium","2026-09-10","passed","2026-09-10","","login.spec.js","",""
"","8577","login select a product under phones add to cart add details and purchase","chromium","2026-09-10","passed","2026-09-10","","placeorder.spec.js","",""
"","2896","login with valid username and invalid password jose_thomas,secret_sauce1","chromium","2026-09-10","passed","2026-09-10","","login.spec.js","",""
"","2341","Sign up","chromium","2026-09-10","passed","2026-09-10","","signup.spec.js","",""
"","5023","Login with valid credentials","chromium","2026-09-10","passed","2026-09-10","","login.spec.js","",""
"","4873","Login and signout","chromium","2026-09-10","passed","2026-09-10","","signout.spec.js","",""
